T,Y,obj
0.25,3.3902651223920413,NH
0.26,3.360294724196177,NH
0.27,3.3289909106313074,NH
0.28,3.297307574909265,NH
0.29,3.2661285243014277,NH
0.3,3.236167212915356,NH
0.31,3.2078942941411386,NH
0.32,3.181504356205884,NH
0.33,3.1569275939902313,NH
0.34,3.1338851926503306,NH
0.35,3.1119796638342,NH
0.36,3.090804384051334,NH
0.37,3.0700514990422647,NH
0.38,3.049595600348975,NH
0.39,3.0295332600770886,NH
0.4,3.010165971100044,NH
0.41,2.9919254973244773,NH
0.42,2.975254078729476,NH
0.43,2.960464397025739,NH
0.44,2.9476124283315253,NH
0.45,2.9364175970531394,NH
0.46,2.9262577197641138,NH
0.47,2.916251766055447,NH
0.48,2.905424147940505,NH
0.49,2.8929242636134296,NH
0.5,2.8782590958167322,NH
0.51,2.861488921144535,NH
0.52,2.843339081101018,NH
0.53,2.8251944147611145,NH
0.54,2.8089650086702953,NH
0.55,2.7968380291617576,NH
0.56,2.790955133872536,NH
0.57,2.793072978271333,NH
0.58,2.8042715612736497,NH
0.59,2.8247696610332294,NH
0.6,2.85388905068634,NH
0.61,2.8901826812154523,NH
0.62,2.931711545583384,NH
0.63,2.9764262921298106,NH
0.64,3.022588274298905,NH
0.65,3.0691545961230204,NH
0.66,3.1160546231119826,NH
0.67,3.1643007075196175,NH
0.68,3.215900693594484,NH
0.69,3.2735698523982326,NH
0.7,3.3402704788405617,NH
0.71,3.418634090277187,NH
0.72,3.5103406352484265,NH
0.73,3.615539254802412,NH
0.74,3.7323950230455645,NH
0.75,3.8568357517691854,NH
0.25,2.333021841621372,RI
0.26,2.328466909966217,RI
0.27,2.3192443420172593,RI
0.28,2.305009374020829,RI
0.29,2.2862380784870258,RI
0.3,2.2640542628940294,RI
0.31,2.239955482081668,RI
0.32,2.2154986703860176,RI
0.33,2.1920112331666854,RI
0.34,2.1703841470842375,RI
0.35,2.1509820235212347,RI
0.36,2.1336766195849997,RI
0.37,2.11798203705827,RI
0.38,2.1032486779183728,RI
0.39,2.0888636816206168,RI
0.4,2.0744095222351584,RI
0.41,2.0597476542767703,RI
0.42,2.0450158042468995,RI
0.43,2.030549725036791,RI
0.44,2.016757465891036,RI
0.45,2.0039828590667956,RI
0.46,1.99239398985062,RI
0.47,1.9819234019317051,RI
0.48,1.972272909115966,RI
0.49,1.962980930710128,RI
0.5,1.9535375353612332,RI
0.51,1.9435239497678423,RI
0.52,1.9327498416048134,RI
0.53,1.9213627630620078,RI
0.54,1.9099086913342493,RI
0.55,1.8993295298432387,RI
0.56,1.89089193863794,RI
0.57,1.886051459897524,RI
0.58,1.886266163667331,RI
0.59,1.8927841938190895,RI
0.6,1.9064382484200164,RI
0.61,1.92748515106631,RI
0.62,1.9555279779993564,RI
0.63,1.9895498862271226,RI
0.64,2.028072346538821,RI
0.65,2.0694274277535216,RI
0.66,2.112107811986417,RI
0.67,2.155134785236425,RI
0.68,2.198369584810919,RI
0.69,2.242692285200458,RI
0.7,2.2899874538183993,RI
0.71,2.3429061209625774,RI
0.72,2.404414417824865,RI
0.73,2.4771827976012926,RI
0.74,2.562907000740367,RI
0.75,2.6616745591806175,RI
0.25,7.3668001047039136,MA
0.26,7.353758155180805,MA
0.27,7.320358734636479,MA
0.28,7.266284166142106,MA
0.29,7.194425212707944,MA
0.3,7.110139589586109,MA
0.31,7.020141234929447,MA
0.32,6.931236608113392,MA
0.33,6.849147817242973,MA
0.34,6.777637266640584,MA
0.35,6.718079399940759,MA
0.36,6.669527036598207,MA
0.37,6.629214999856875,MA
0.38,6.5933563222086535,MA
0.39,6.558036143171439,MA
0.4,6.520005856223813,MA
0.41,6.477223247742465,MA
0.42,6.4290598036862345,MA
0.43,6.376182819264527,MA
0.44,6.320194573506864,MA
0.45,6.263155565187539,MA
0.46,6.207125222911069,MA
0.47,6.153824580563609,MA
0.48,6.104473788091047,MA
0.49,6.059800717915294,MA
0.5,6.020172279930876,MA
0.51,5.985778423349499,MA
0.52,5.95680251631342,MA
0.53,5.933534756426034,MA
0.54,5.916416014941376,MA
0.55,5.906025828999019,MA
0.56,5.9030415630620405,MA
0.57,5.908193840893445,MA
0.58,5.922230426236719,MA
0.59,5.945885112268483,MA
0.6,5.979838468086437,MA
0.61,6.024658678456673,MA
0.62,6.080722824483444,MA
0.63,6.148136047155013,MA
0.64,6.22667948187905,MA
0.65,6.315819879486137,MA
0.66,6.4148010419781025,MA
0.67,6.522812402379909,MA
0.68,6.639201579636052,MA
0.69,6.76367632189679,MA
0.7,6.896435894369095,MA
0.71,7.038186038680285,MA
0.72,7.190021126898982,MA
0.73,7.35319183151106,MA
0.74,7.528803861972603,MA
0.75,7.717502982987267,MA
0.25,1.6325759611791495,VT
0.26,1.613552588304167,VT
0.27,1.5953102458915027,VT
0.28,1.578317077094086,VT
0.29,1.5628249927816817,VT
0.3,1.5489132025752728,VT
0.31,1.5365426991564504,VT
0.32,1.525607420702376,VT
0.33,1.5159706885151798,VT
0.34,1.5074808798170685,VT
0.35,1.4999670595931054,VT
0.36,1.4932218733253158,VT
0.37,1.4869836063354025,VT
0.38,1.48093042363055,VT
0.39,1.474696685614797,VT
0.4,1.467914346216534,VT
0.41,1.4602735068960107,VT
0.42,1.4515878763595977,VT
0.43,1.4418460213626578,VT
0.44,1.4312300062078744,VT
0.45,1.420089871487653,VT
0.46,1.408874005199737,VT
0.47,1.3980286846266523,VT
0.48,1.387890892519958,VT
0.49,1.378603253868233,VT
0.5,1.3700765020092933,VT
0.51,1.3620135771855268,VT
0.52,1.3539931020132387,VT
0.53,1.345593162314811,VT
0.54,1.3365240754220924,VT
0.55,1.3267350456337024,VT
0.56,1.3164657713010859,VT
0.57,1.3062286878660714,VT
0.58,1.2967264960200462,VT
0.59,1.2887274010337497,VT
0.6,1.2829317976193608,VT
0.61,1.2798655820851315,VT
0.62,1.2798264340468652,VT
0.63,1.2828929930454402,VT
0.64,1.2889878967238104,VT
0.65,1.2979699604108645,VT
0.66,1.309723145503484,VT
0.67,1.3242126351256573,VT
0.68,1.34149031075867,VT
0.69,1.3616492624850889,VT
0.7,1.3847440307038663,VT
0.71,1.410704527288796,VT
0.72,1.4392733490595437,VT
0.73,1.4699878670617412,VT
0.74,1.5022127235563534,VT
0.75,1.5352103218680948,VT
0.25,3.4102454352541183,ME
0.26,3.383500928359642,ME
0.27,3.356119111717599,ME
0.28,3.32831631472595,ME
0.29,3.3004093336502507,ME
0.3,3.2728176660386,ME
0.31,3.246020846349853,ME
0.32,3.2204851338553,ME
0.33,3.1965804390542143,ME
0.34,3.17450917732661,ME
0.35,3.154264220154077,ME
0.36,3.1356250719772594,ME
0.37,3.1181922693336963,ME
0.38,3.101452088960743,ME
0.39,3.0848585301523705,ME
0.4,3.067917740243598,ME
0.41,3.0502611853449775,ME
0.42,3.0316969925602564,ME
0.43,3.0122330002717925,ME
0.44,2.992069432678255,ME
0.45,2.9715634286649033,ME
0.46,2.9511717851270625,ME
0.47,2.931382022360583,ME
0.48,2.9126447269956124,ME
0.49,2.895321224957542,ME
0.5,2.8796590580532455,ME
0.51,2.8658029353659242,ME
0.52,2.8538410844967794,ME
0.53,2.8438775755705787,ME
0.54,2.836112488779795,ME
0.55,2.830906392242041,ME
0.56,2.8288057518011778,ME
0.57,2.8305126859097114,ME
0.58,2.8367952527242486,ME
0.59,2.8483507242873842,ME
0.6,2.865650160107728,ME
0.61,2.888803591262673,ME
0.62,2.917487401392215,ME
0.63,2.95096687488128,ME
0.64,2.9882277212906816,ME
0.65,3.0282038236990667,ME
0.66,3.0700600604162505,ME
0.67,3.113465755343646,ME
0.68,3.1587829007904014,ME
0.69,3.2070986538913644,ME
0.7,3.2600552130676803,ME
0.71,3.319469230335379,ME
0.72,3.3867804106290826,ME
0.73,3.462414874076779,ME
0.74,3.5451822827080126,ME
0.75,3.631837419122057,ME
0.25,8.85641421565583,CT
0.26,8.774945479592338,CT
0.27,8.679203317905351,CT
0.28,8.573948260302611,CT
0.29,8.46502043858689,CT
0.3,8.358273926800587,CT
0.31,8.258579057807173,CT
0.32,8.169067859837963,CT
0.33,8.090747312610562,CT
0.34,8.022531759178204,CT
0.35,7.9616646248118474,CT
0.36,7.904427264907993,CT
0.37,7.846983709178828,CT
0.38,7.786193171337675,CT
0.39,7.720238950898183,CT
0.4,7.6489669440355295,CT
0.41,7.573888151780375,CT
0.42,7.497863755076908,CT
0.43,7.424546011577865,CT
0.44,7.357684669001566,CT
0.45,7.3004231105413595,CT
0.46,7.254702209294016,CT
0.47,7.220867388502159,CT
0.48,7.19754151252067,CT
0.49,7.181788357726821,CT
0.5,7.169552486208181,CT
0.51,7.1563239434665755,CT
0.52,7.137942387862909,CT
0.53,7.111427713173038,CT
0.54,7.0757069764823495,CT
0.55,7.032105697935874,CT
0.56,6.984490477113589,CT
0.57,6.938992317173326,CT
0.58,6.903304561973612,CT
0.59,6.885628412118159,CT
0.6,6.893418987570422,CT
0.61,6.93214808102432,CT
0.62,7.004327983094796,CT
0.63,7.109020532027696,CT
0.64,7.241982666801792,CT
0.65,7.396482462511709,CT
0.66,7.5646786003195805,CT
0.67,7.739321204854885,CT
0.68,7.915435233130242,CT
0.69,8.091615841101705,CT
0.7,8.270612088108086,CT
0.71,8.458996984946708,CT
0.72,8.665896297608434,CT
0.73,8.900940208564503,CT
0.74,9.171770053306473,CT
0.75,9.481540354613454,CT
